start_set,direction,openalex_id,year,title,doi,title_filter_match,retained_for_next_read
Guerin-Orda,backward,W2752885492,1991,Introduction to Algorithms,https://doi.org/10.2307/2583667,0,0
Guerin-Orda,backward,W2176566884,1993,A generalized processor sharing approach to flow control in integrated services networks: the single-node case,https://doi.org/10.1109/90.234856,0,0
Guerin-Orda,backward,W2125690626,2021,Combinatorial optimization: networks and matroids,,0,0
Guerin-Orda,backward,W4238270389,1994,A generalized processor sharing approach to flow control in integrated services networks: the multiple node case,https://doi.org/10.1109/90.298432,0,0
Guerin-Orda,backward,W2114493937,2002,Probabilistic approximation of metric spaces and its algorithmic applications,https://doi.org/10.1109/sfcs.1996.548477,0,0
Guerin-Orda,backward,W2027029507,1979,Combinatorial Optimization with Rational Objective Functions,https://doi.org/10.1287/moor.4.4.414,0,0
Guerin-Orda,backward,W2014411916,1977,Hierarchical routing for large networks Performance evaluation and optimization,https://doi.org/10.1016/0376-5075(77)90002-2,1,0
Guerin-Orda,backward,W1998544343,1993,Low diameter graph decompositions,https://doi.org/10.1007/bf01303516,0,0
Guerin-Orda,backward,W2120608001,2002,QoS routing mechanisms and OSPF extensions,https://doi.org/10.1109/glocom.1997.644603,1,0
Guerin-Orda,backward,W2162689181,1998,Quality of service based routing,https://doi.org/10.1145/285237.285251,1,0
Guerin-Orda,backward,W2161201881,1998,QoS routing in networks with uncertain parameters,https://doi.org/10.1109/90.748088,1,1
Guerin-Orda,backward,W2130202407,1999,Routing with end-to-end QoS guarantees in broadband networks,https://doi.org/10.1109/90.779205,1,0
Guerin-Orda,backward,W1997102717,1991,Algorithms for the quickest path problem and the enumeration of quickest paths,https://doi.org/10.1016/0305-0548(91)90063-w,1,0
Guerin-Orda,backward,W1965709776,1996,Efficient network QoS provisioning based on per node traffic shaping,https://doi.org/10.1109/90.532860,0,0
Guerin-Orda,backward,W2152170792,2002,QoS based routing in networks with inaccurate information: theory and algorithms,https://doi.org/10.1109/infcom.1997.635116,1,0
Guerin-Orda,backward,W2105810661,1995,Topology aggregation for hierarchical routing in ATM networks,https://doi.org/10.1145/210613.210625,1,0
Guerin-Orda,backward,W2099556589,2002,Near-linear cost sequential and distributed constructions of sparse neighborhood covers,https://doi.org/10.1109/sfcs.1993.366823,0,0
Guerin-Orda,backward,W1989381030,1996,Fast Distributed Network Decompositions and Covers,https://doi.org/10.1006/jpdc.1996.0159,0,0
Guerin-Orda,backward,W2001728381,1983,Combinatorial Optimization with Rational Objective Functions: A Communication,https://doi.org/10.1287/moor.8.2.314,0,0
Guerin-Orda,backward,W3014841294,1998,Quality of service based routing,https://doi.org/10.1145/285243.285251,1,0
Guerin-Orda,backward,W2092480587,1999,Implementation and performance measurements of QoS routing extensions to OSPF,https://doi.org/10.1109/infcom.1999.751454,1,0
Guerin-Orda,backward,W2100471534,2002,Spanning tree method for link state aggregation in large communication networks,https://doi.org/10.1109/infcom.1995.515888,0,0
Guerin-Orda,backward,W2155042491,2002,Optimal partition of QoS requirements on unicast paths and multicast trees,https://doi.org/10.1109/90.986559,1,0
Guerin-Orda,backward,W2020547589,1992,Fast network decomposition,https://doi.org/10.1145/135419.135456,0,0
Guerin-Orda,backward,W2112194105,1999,Optimal partition of QoS requirements on unicast paths and multicast trees,https://doi.org/10.1109/infcom.1999.749289,1,0
Guerin-Orda,backward,W1592064028,1997,Specification of Guaranteed Quality of Service,https://doi.org/10.17487/rfc2212,0,0
Guerin-Orda,backward,W2243986870,1999,QoS Routing Mechanisms and OSPF Extensions,https://doi.org/10.17487/rfc2676,1,0
Guerin-Orda,backward,W4210922135,1997,OSPF Version 2,https://doi.org/10.17487/rfc2178,0,0
Guerin-Orda,backward,W2092796322,1990,Topology distribution cost vs. efficient routing in large networks,https://doi.org/10.1145/99508.99560,1,0
Guerin-Orda,backward,W2150006066,2002,QoS path management with RSVP,https://doi.org/10.1109/glocom.1997.644606,1,0
Guerin-Orda,backward,W2147184289,1995,NBBS path selection framework,https://doi.org/10.1147/sj.344.0629,1,0
Guerin-Orda,forward,W2148837283,2002,Multi-constrained optimal path selection,https://doi.org/10.1109/infcom.2001.916274,0,0
Guerin-Orda,forward,W2140556610,2002,Lagrange relaxation based method for the QoS routing problem,https://doi.org/10.1109/infcom.2001.916277,0,0
Guerin-Orda,forward,W2170803695,2012,Logically centralized?,https://doi.org/10.1145/2342441.2342443,0,0
Guerin-Orda,forward,W2753412869,2017,Unicast QoS Routing Algorithms for SDN: A Comprehensive Survey and Performance Evaluation,https://doi.org/10.1109/comst.2017.2749760,0,0
Guerin-Orda,forward,W2160658249,2008,Polynomial Time Approximation Algorithms for Multi-Constrained QoS Routing,https://doi.org/10.1109/tnet.2007.900712,0,0
Guerin-Orda,forward,W2100422827,2010,QoS Routing in Smart Grid,https://doi.org/10.1109/glocom.2010.5683884,0,0
Guerin-Orda,forward,W1723291864,2002,Networks with advance reservations: the routing perspective,https://doi.org/10.1109/infcom.2000.832180,0,0
Guerin-Orda,forward,W2130202407,1999,Routing with end-to-end QoS guarantees in broadband networks,https://doi.org/10.1109/90.779205,0,0
Guerin-Orda,forward,W2035841327,2001,Hop-by-hop quality of service routing,https://doi.org/10.1016/s1389-1286(01)00222-5,0,0
Guerin-Orda,forward,W2102739699,2006,Distributed multimedia service composition with statistical QoS assurances,https://doi.org/10.1109/tmm.2005.861284,0,0
Guerin-Orda,forward,W2121842672,2002,Computing shortest paths for any number of hops,https://doi.org/10.1109/tnet.2002.803917,0,0
Guerin-Orda,forward,W2123222030,2003,Constraint-based routing in the internet: Basic principles and recent research,https://doi.org/10.1109/comst.2003.5342226,0,0
Guerin-Orda,forward,W2030170468,2007,Finding a Path Subject to Many Additive QoS Constraints,https://doi.org/10.1109/tnet.2006.890089,0,0
Guerin-Orda,forward,W2147519941,2004,QM2RP: A QoS-Based Mobile Multicast Routing Protocol Using Multi-Objective Genetic Algorithm,https://doi.org/10.1023/b:wine.0000023861.10684.f1,0,0
Guerin-Orda,forward,W1562224100,2003,Quality of Service Routing,https://doi.org/10.1007/978-3-540-45190-7_3,0,0
Guerin-Orda,forward,W2164254685,2009,Statistical QoS routing for IEEE 802.11 multihop ad hoc networks,https://doi.org/10.1109/twc.2008.080573,0,0
Guerin-Orda,forward,W2523771963,2016,QoS Routing enhancement using metaheuristic approach in mobile ad-hoc network,https://doi.org/10.1016/j.comnet.2016.09.023,0,0
Guerin-Orda,forward,W2055923829,2010,QoS multicast routing using a quantum-behaved particle swarm optimization algorithm,https://doi.org/10.1016/j.engappai.2010.08.001,0,0
Guerin-Orda,forward,W1510148020,2010,Efficiently Answering Probability Threshold-Based Shortest Path Queries over Uncertain Graphs,https://doi.org/10.1007/978-3-642-12026-8_14,0,0
Guerin-Orda,forward,W2058968692,2010,Energy-efficient proactive routing in MANET: Energy metrics accuracy,https://doi.org/10.1016/j.adhoc.2010.02.004,0,0
Guerin-Orda,forward,W2168568937,2002,Quality of service routing in ad hoc networks,https://doi.org/10.1109/wcnc.2000.904639,0,0
Guerin-Orda,forward,W2091767767,2013,Slice embedding solutions for distributed service architectures,https://doi.org/10.1145/2522968.2522974,0,0
Guerin-Orda,forward,W2068394611,2014,Traffic uncertainty models in network planning,https://doi.org/10.1109/mcom.2014.6736759,0,0
Guerin-Orda,forward,W2140647291,2011,Computing a Most Probable Delay Constrained Path: NP-Hardness and Approximation Schemes,https://doi.org/10.1109/tc.2011.61,0,0
Guerin-Orda,forward,W2003117513,2014,Trust based QOS protocol(TBQP) using meta-heuristic genetic algorithm for optimizing and securing MANET,https://doi.org/10.1109/icroit.2014.6798315,0,0
Guerin-Orda,forward,W2344975577,2016,The Shortest Path Problem on a Time-Dependent Network With Mixed Uncertainty of Randomness and Fuzziness,https://doi.org/10.1109/tits.2016.2543262,0,0
Guerin-Orda,forward,W2038778912,2011,Routing with multiple quality-of-services constraints: An approximation perspective,https://doi.org/10.1016/j.jnca.2011.09.009,0,0
Guerin-Orda,forward,W4200229859,2021,Performance Analysis of DSR and Cache Customized DSR Steering Protocols in Wireless Mobile ADHOC Networks,https://doi.org/10.1109/i-smac52330.2021.9641042,0,0
Guerin-Orda,forward,W2111010037,2001,Evaluating the impact of stale link state on quality-of-service routing,https://doi.org/10.1109/90.917073,1,1
Guerin-Orda,forward,W2102234396,2003,Precomputation schemes for QoS routing,https://doi.org/10.1109/tnet.2003.815299,0,0
Guerin-Orda,forward,W2097985567,2003,Bandwidth-delay constrained path selection under inaccurate state information,https://doi.org/10.1109/tnet.2003.813047,1,1
Guerin-Orda,forward,W2167778986,2004,Routing With Topology Aggregation in Delay-Bandwidth Sensitive Networks,https://doi.org/10.1109/tnet.2003.822647,0,0
Guerin-Orda,forward,W2049996330,2000,Source-oriented topology aggregation with multiple QoS parameters in hierarchical networks,https://doi.org/10.1145/369534.369542,0,0
Guerin-Orda,forward,W2086581750,2002,An efficient algorithm for finding a path subject to two additive constraints,https://doi.org/10.1016/s0140-3664(01)00358-9,0,0
Guerin-Orda,forward,W1992543918,2004,Advertising Interdomain QoS Routing Information,https://doi.org/10.1109/jsac.2004.836004,0,0
Guerin-Orda,forward,W2054743918,2012,Solving the fuzzy shortest path problem using multi-criteria decision method based on vague similarity measure,https://doi.org/10.1016/j.asoc.2012.03.013,0,0
Guerin-Orda,forward,W2045160721,2008,Optimal routing for end-to-end guarantees using Network Calculus,https://doi.org/10.1016/j.peva.2008.04.008,0,0
Guerin-Orda,forward,W2081699774,2007,A QoS multicast routing protocol for clustering mobile ad hoc networks,https://doi.org/10.1016/j.comcom.2007.01.017,0,0
Guerin-Orda,forward,W1983784642,2002,A fuzzy genetic algorithm for QoS multicast routing,https://doi.org/10.1016/s0140-3664(02)00183-4,0,0
Guerin-Orda,forward,W2777532272,2017,Low-Latency Routing Scheme for a Fronthaul Bridged Network,https://doi.org/10.1364/jocn.10.000014,0,0
Guerin-Orda,forward,W2128645397,2004,Fixed Point Approximation for Multirate Multihop Loss Networks With State-Dependent Routing,https://doi.org/10.1109/tnet.2004.826248,0,0
Guerin-Orda,forward,W1985725400,2005,Framework for parameter mapping to provide end-to-end QoS guarantees in IntServ/DiffServ architectures,https://doi.org/10.1016/j.comcom.2005.01.008,0,0
Guerin-Orda,forward,W1992129517,2012,The Shortest Path Problem on a Fuzzy Time-Dependent Network,https://doi.org/10.1109/tcomm.2012.090512.100570,0,0
Guerin-Orda,forward,W2100369544,2002,A New Path Selection Algorithm for MPLS Networks Based on Available Bandwidth Estimation,https://doi.org/10.1007/3-540-45859-x_20,0,0
Guerin-Orda,forward,W1526972509,2006,QPSO-Based QoS Multicast Routing Algorithm,https://doi.org/10.1007/11903697_34,0,0
Guerin-Orda,forward,W2019835624,2010,A Robust GA-based QoS Routing Algorithm for Solving Multi-constrained Path Problem,https://doi.org/10.4304/jcp.5.9.1322-1334,0,0
Guerin-Orda,forward,W1941615561,2002,Optimizing QoS-Based Multicast Routing in Wireless Networks: A Multi-objective Genetic Algorithmic Approach,https://doi.org/10.1007/3-540-47906-6_3,0,0
Guerin-Orda,forward,W2162854574,2010,Reducing the effects of routing inaccuracy by means of prediction and an innovative link-state cost,https://doi.org/10.1109/lcomm.2010.05.092312,1,1
Guerin-Orda,forward,W2165291585,2015,Quality of Service Routing in Manet Using a Hybrid Intelligent Algorithm Inspired by Cuckoo Search,https://doi.org/10.1155/2015/703480,0,0
Guerin-Orda,forward,W2614073272,2017,Routing in Mobile Ad-Hoc Networks Using Social Tie Strengths and Mobility Plans,https://doi.org/10.1109/wcnc.2017.7925620,0,0
Guerin-Orda,forward,W4246747895,2007,QuESt: a QoS‐based energy efficient sensor routing protocol,https://doi.org/10.1002/wcm.546,0,0
Guerin-Orda,forward,W1527820956,2006,QoS Multicast Routing Based on Particle Swarm Optimization,https://doi.org/10.1007/11875581_112,0,0
Guerin-Orda,forward,W2167091017,2015,The complexity of the Kth largest subset problem and related problems,https://doi.org/10.1016/j.ipl.2015.09.015,0,0
Guerin-Orda,forward,W2080162900,2012,Taming uncertainties in real-time routing for wireless networked sensing and control,https://doi.org/10.1145/2248371.2248385,1,1
Guerin-Orda,forward,W1991576917,2007,Asymptotic Delay Analysis for Cross-Layer Delay-Based Routing in Ad Hoc Networks,https://doi.org/10.1155/2007/90879,0,0
Guerin-Orda,forward,W2038657808,2012,Taming Uncertainties in Real-Time Routing for Wireless Networked Sensing and Control,https://doi.org/10.1109/tsg.2012.2209209,1,0
Guerin-Orda,forward,W2077341585,2014,"A Virtualized, Programmable Content Delivery Network",https://doi.org/10.1109/mobilecloud.2014.32,0,0
Guerin-Orda,forward,W2743384428,2016,A Real-Time Routing Algorithm for End-to-End Communication Networks with QoS Requirements,https://doi.org/10.1109/cmcsn.2016.44,0,0
Guerin-Orda,forward,W2599377167,2017,An efficient binary-search based heuristic for extended Unsplittable Flow Problem,https://doi.org/10.1109/iccnc.2017.7876239,0,0
Guerin-Orda,forward,W2597902214,2017,Routing algorithm for multiple unsplittable flows between two cloud sites with QoS guarantees,https://doi.org/10.1109/iccnc.2017.7876255,0,0
Guerin-Orda,forward,W2006543170,2001,A randomized algorithm for finding a path subject to multiple QoS requirements,https://doi.org/10.1016/s1389-1286(00)00209-7,0,0
Guerin-Orda,forward,W2076024187,2000,An efficient algorithm for finding a path subject to two additive constraints,https://doi.org/10.1145/339331.339427,0,0
Guerin-Orda,forward,W2126837027,2003,Routing multimedia traffic with qos guarantees,https://doi.org/10.1109/tmm.2003.811627,0,0
Guerin-Orda,forward,W1527852317,2002,Survey of QoS routing,,0,0
Guerin-Orda,forward,W1955786626,2003,The enhanced ticket-based routing algorithm,https://doi.org/10.1109/icc.2002.997241,0,0
Guerin-Orda,forward,W2036299754,2002,A note on practical construction of maximum bandwidth paths,https://doi.org/10.1016/s0020-0190(01)00323-4,0,0
Guerin-Orda,forward,W2039184466,2006,A QoS multicast routing optimization algorithm based on genetic algorithm,https://doi.org/10.1109/jcn.2006.6182911,0,0
Guerin-Orda,forward,W1540515562,2003,An efficient multi-objective QoS-routing algorithm for wireless multicasting,https://doi.org/10.1109/vtc.2002.1002796,0,0
Guerin-Orda,forward,W2166442207,2003,A new scheme for reducing link and signaling costs in mobile ip,https://doi.org/10.1109/tc.2003.1204827,0,0
Guerin-Orda,forward,W1985178674,2004,A fuzzy-based path ordering algorithm for QoS routing in non-deterministic communication networks,https://doi.org/10.1016/j.fss.2004.03.020,0,0
Guerin-Orda,forward,W2149235020,2006,End-to-End QoS in Interdomain Routing,https://doi.org/10.1109/icns.2006.45,0,0
Guerin-Orda,forward,W2105644162,2008,QoS rate allocation in computer networks under uncertainty,https://doi.org/10.1108/03684920810873308,0,0
Guerin-Orda,forward,W1998312811,2007,Preemption-Aware Instantaneous Request Call Routing for Networks With Book-Ahead Reservation,https://doi.org/10.1109/tmm.2007.906560,0,0
Guerin-Orda,forward,W2740868655,2017,Low-latency routing for fronthaul network: A Monte Carlo machine learning approach,https://doi.org/10.1109/icc.2017.7996439,0,0
Guerin-Orda,forward,W2103846192,2005,The stability of paths in a dynamic network,https://doi.org/10.1145/1095921.1095936,0,0
Guerin-Orda,forward,W2102545943,2007,Mobile agent based approach for QoS routing,https://doi.org/10.1049/iet-com:20050457,0,0
Guerin-Orda,forward,W2172113322,2008,Localized Quality based QoS routing,,0,0
Guerin-Orda,forward,W2109756419,2007,A simple automata based model for stable routing in dynamic ad hoc networks,https://doi.org/10.1145/1298275.1298290,0,0
Guerin-Orda,forward,W2156442470,2005,The role of traffic forecasting in QoS routing - a case study of time-dependent routing,https://doi.org/10.1109/icc.2005.1494351,0,0
Guerin-Orda,forward,W1968661823,2014,A fast and scalable technique for constructing multicast routing trees with optimized quality of service using a firefly based genetic algorithm,https://doi.org/10.1007/s11042-014-2405-4,0,0
Guerin-Orda,forward,W2337611092,2010,Exploring Issues for QoS Based Routing Algorithms,,0,0
Guerin-Orda,forward,W2803564574,2017,"Energy, delay and hop count multi-constraints QoS routing algorithm for wireless ad-hoc networks",https://doi.org/10.1109/icct.2017.8359700,0,0
Guerin-Orda,forward,W1501925261,2015,Shortest paths in networks with correlated link weights,https://doi.org/10.1109/infcomw.2015.7179461,0,0
Guerin-Orda,forward,W2155042491,2002,Optimal partition of QoS requirements on unicast paths and multicast trees,https://doi.org/10.1109/90.986559,0,0
Guerin-Orda,forward,W1737589985,2002,QoS routing: the precomputation perspective,https://doi.org/10.1109/infcom.2000.832181,0,0
Guerin-Orda,forward,W2129414151,2001,Topology aggregation for directed graphs,https://doi.org/10.1109/90.909026,0,0
Guerin-Orda,forward,W2155651474,2001,Quality-of-service routing in IP networks,https://doi.org/10.1109/6046.923819,0,0
Guerin-Orda,forward,W2144049931,2004,Adaptive QoS routing based on prediction of local performance in ad hoc networks,https://doi.org/10.1109/wcnc.2003.1200540,1,0
Guerin-Orda,forward,W1984733474,2004,A QoS multicast routing protocol for dynamic group topology,https://doi.org/10.1016/j.ins.2004.02.008,0,0
Guerin-Orda,forward,W2042843286,2003,A QoS-guaranteed multicast routing protocol,https://doi.org/10.1016/s0140-3664(03)00186-5,0,0
Guerin-Orda,forward,W2122575460,2002,Multiple path routing in networks with inaccurate link state information,https://doi.org/10.1109/icc.2001.936616,1,1
Guerin-Orda,forward,W1998662322,2003,A dynamic multicast routing satisfying multiple QoS constraints,https://doi.org/10.1002/nem.485,0,0
Guerin-Orda,forward,W2154355266,2002,Primal-dual algorithms for computing weight-constrained shortest paths and weight-constrained minimum spanning trees,https://doi.org/10.1109/pccc.2000.830328,0,0
Guerin-Orda,forward,W2106901302,2006,Efficient QoS Partition and Routing of Unicast and Multicast,https://doi.org/10.1109/tnet.2006.886323,0,0
Guerin-Orda,forward,W2159349608,2005,On the scalability of network management information for inter-domain light-path assessment,https://doi.org/10.1109/tnet.2004.842436,0,0
Guerin-Orda,forward,W2159201941,2002,A randomized QoS routing algorithm on networks with inaccurate link-state information,https://doi.org/10.1109/icct.2000.890970,1,0
Guerin-Orda,forward,W2152450697,2004,Delay budget partitioning to maximize network resource usage efficiency,https://doi.org/10.1109/infcom.2004.1354614,0,0
Guerin-Orda,forward,W2137285201,2004,A Multiservice Traffic Allocation Model for LEO Satellite Communication Networks,https://doi.org/10.1109/jsac.2004.823417,0,0
Guerin-Orda,forward,W1610162450,2005,Scalable QoS-Based Resource Allocation in Hierarchical Networked Environment,https://doi.org/10.1109/rtas.2005.47,0,0
Guerin-Orda,forward,W2091418817,2006,Minimax regret spanning arborescences under uncertain costs,https://doi.org/10.1016/j.ejor.2006.07.036,0,0
Guerin-Orda,forward,W1984011655,2003,On Source-Based Route Computation for Quickest Paths under Dynamic Bandwidth Constraints,https://doi.org/10.1142/s0129054103001868,0,0
Guerin-Orda,forward,W2122758804,2008,Flexible QoS Route Selection with Diverse Objectives and Constraints,https://doi.org/10.1109/iwqos.2008.37,0,0
Guerin-Orda,forward,W1589829020,2002,A Multicast Routing Protocol with Multiple QoS Constraints,https://doi.org/10.1007/978-0-387-35600-6_8,0,0
Guerin-Orda,forward,W2070570335,2001,QoS routing with adaptive updating of link states,https://doi.org/10.1049/el:20010373,1,0
Guerin-Orda,forward,W2085667666,2015,GMPLS Control Plane With Distributed Multipath RMSA for Elastic Optical Networks,https://doi.org/10.1109/jlt.2015.2388731,0,0
Guerin-Orda,forward,W2104259704,2004,QoS routing algorithms under inaccurate routing for bandwidth constrained applications,https://doi.org/10.1109/icc.2003.1203899,1,0
Guerin-Orda,forward,W1998631486,2001,K-pair delay constrained minimum cost routing in undirected networks,https://doi.org/10.5555/365411.365450,0,0
Guerin-Orda,forward,W2302420033,2004,Scalable qos-based resource allocation,,0,0
Guerin-Orda,forward,W2546294755,2009,A Novel Hybrid QoS Multicast Routing Based on Clonal Selection and Artificial Fish Swarm Algorithm,https://doi.org/10.1109/dese.2009.61,0,0
Guerin-Orda,forward,W1864053524,2008,A Fair QoS Scheme for Bandwidth Allocation by Precomputation-based Approach,,0,0
Guerin-Orda,forward,W1964764874,2008,QoS multicast routing protocol in hierarchical wireless MANET,https://doi.org/10.1007/s11432-008-0019-z,0,0
Guerin-Orda,forward,W2098989254,2007,Load-Balanced Routing in Wireless Networks: State Information Accuracy Using OLSR,https://doi.org/10.1109/wimob.2007.4390877,0,0
Guerin-Orda,forward,W1535372989,2016,Optimization problems in correlated networks,https://doi.org/10.1186/s40649-016-0026-y,0,0
Guerin-Orda,forward,W2125697062,2008,Energy-Efficient MANET Routing: Ideal vs. Realistic Performance,https://doi.org/10.1109/iwcmc.2008.136,0,0
Guerin-Orda,forward,W2152381136,2006,Capacity-aware state aggregation for interdomain QoS routing,https://doi.org/10.1109/tmm.2006.876280,0,0
Guerin-Orda,forward,W1949933475,2011,Maximum delay computation for interdomain path selection,https://doi.org/10.1002/nem.799,0,0
Guerin-Orda,forward,W2054064750,2014,A bandwidth sourcing and task allocation model in telecommunications under stochastic QoS guarantees,https://doi.org/10.1016/j.asoc.2014.08.014,0,0
Guerin-Orda,forward,W2100769667,2006,A Neural Network Solution to QoS-IP Team-Optimal Dynamic Routing,https://doi.org/10.1109/cdc.2005.1583364,0,0
Guerin-Orda,forward,W2111973021,2008,RT-P2P: A Scalable Real-Time Peer-to-Peer System with Probabilistic Timing Assurances,https://doi.org/10.1109/euc.2008.24,0,0
Guerin-Orda,forward,W2141895919,2005,Parallel LSPs for constraint-based routing and load balancing in MPLS networks,https://doi.org/10.1049/ip-com:20040968,0,0
Guerin-Orda,forward,W1981069398,2014,An Hybrid Prediction-based Routing approach for reducing routing inaccuracy in optical transport networks,https://doi.org/10.1109/noc.2014.6996844,1,0
Guerin-Orda,forward,W2995141581,2019,Parameterized Optimization in Uncertain Graphs—A Survey and Some Results,https://doi.org/10.3390/a13010003,0,0
Guerin-Orda,forward,W4283837378,2022,QoS Routing Using Dominant-Distance Vectors,https://doi.org/10.1109/iwqos54832.2022.9812900,0,0
Guerin-Orda,forward,W4391219562,2024,Decoding Human Development and Environmental Sustainability: A Predictive Analytical Study on Relationship Between HDI and Carbon Emission,https://doi.org/10.1007/978-3-031-36895-0_66,0,0
Guerin-Orda,forward,W2064276357,2013,An Automaton Model for Stable Routing in Ad-Hoc Network Based on Two States CTMC,https://doi.org/10.1109/ems.2013.92,0,0
Guerin-Orda,forward,W2063778206,2009,Bandwidth measurement and management for end-to-end connectivity over IP networks,https://doi.org/10.1109/comsnets.2009.4808836,0,0
Guerin-Orda,forward,W1927270242,2015,Deployment of Mobile Ad-hoc Network Ticket Based QoS Routing Protocol for Healthcare,https://doi.org/10.17485/ijst/2015/v8i15/64868,0,0
Guerin-Orda,forward,W1834436800,2002,Efficient QoS partition and routing of unicast and multicast,https://doi.org/10.1109/iwqos.2000.847940,0,0
Guerin-Orda,forward,W1506184069,2002,QoS routing with performance-dependent costs,https://doi.org/10.1109/infcom.2000.832182,0,0
Guerin-Orda,forward,W2141917424,2002,QoS routing granularity in MPLS networks,https://doi.org/10.1109/mcom.2002.1007409,0,0
Guerin-Orda,forward,W2088108628,2002,Evaluation of mobility and quality of service interaction,https://doi.org/10.1016/s1389-1286(01)00255-9,0,0
Guerin-Orda,forward,W2135405958,1999,Incentive compatible pricing strategies for QoS routing,https://doi.org/10.1109/infcom.1999.751478,0,0
Guerin-Orda,forward,W2031248962,2003,A distributed QoS-Aware multicast routing protocol,https://doi.org/10.1007/s00236-003-0123-x,0,0
Guerin-Orda,forward,W1998178253,2000,A hierarchical multilayer QoS routing system with dynamic SLA management,https://doi.org/10.1109/49.898740,0,0
Guerin-Orda,forward,W195442848,2000,Evaluation of Mobility and QoS interaction,,0,0
Guerin-Orda,forward,W2153888778,2002,Active pipes: service composition for programmable networks,https://doi.org/10.1109/milcom.2001.985981,0,0
Guerin-Orda,forward,W1598088188,2003,A QoS Routing Mechanism for Reducing the Routing Inaccuracy Effects,https://doi.org/10.1007/3-540-36480-3_7,1,0
Guerin-Orda,forward,W2098938581,2003,A scalable approach to the partition of QoS requirements in unicast and multicast,https://doi.org/10.1109/infcom.2002.1019314,0,0
Guerin-Orda,forward,W2044008456,2000,The effect of network hierarchy structure on performance of ATM PNNI hierarchical routing,https://doi.org/10.1016/s0140-3664(99)00247-9,0,0
